No,SMILES,Cl-C,"(C=C),(C-C),(C-C),xC",O=C-C-O,C=C-C=C,C-N=O,"(C-C),xC",I-C-C=C,C-C-F,C-C=C-O,"(C-C),(C-C),xC",S-C,C-O-C=O,"(C=O),(C-C),(C-O),xC","(C-C),(C-O),xC",Br-C-C-O,"(C-O),xC","(C=O),(C-C),xC",C=O,C=C-C=O,"(Br-C),xBr",N,Br-C=C-Br,pLC50,Series
C_001,OC1=CC=CC(O)=C1O,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,T
C_003,OC1=CC(O)=CC(O)=C1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26,T
C_004,OC1=CC(O)=C(C=C1)C(=O)C1=C(O)C=C(O)C=C1,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0.96,T
C_005,OC1=C(C=CC=C1)C1=C(O)C=CC=C1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,T
C_007,OC1=C(Cl)C(Cl)=CC(Cl)=C1Cl,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,T
C_008,OC1=C(F)C(F)=CC(F)=C1F,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,T
C_009,OC1=C(Cl)C(Cl)=CC(Cl)=C1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,T
C_010,CC1=CC(O)=C(C)C(C)=C1,0,3,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,T
C_012,OC1=C(Cl)C(Cl)=CC=C1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,T
C_015,CC1=CC=CC(O)=C1C,0,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,T
C_016,OC1=C(C(=CC=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.46,T
C_018,OC1=C(Br)C=C(Br)C=C1Br,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2.03,T
C_020,OC1=C(Cl)C=C(Cl)C=C1Cl,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,T
C_021,CC1=CC(C)=C(O)C(C)=C1,0,3,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,T
C_023,CN(C)CC1=CC=C(O)C(CN(C)C)=C1CN(C)C,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,-0.52,T
C_024,NC1=CC=C(O)C(N)=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.13,T
C_025,OC1=C(Br)C=C(Br)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1.4,T
C_029,OC1=C(F)C=C(F)C=C1,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,T
C_032,OC1=C(Cl)C=CC(Cl)=C1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,T
C_034,OC1=C(C=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.95,T
C_036,OC1=C(Cl)C=C(F)C=C1Cl,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,T
C_037,OC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.63,T
C_038,OC1=C(Cl)C=CC=C1Cl,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,T
C_040,OC1=C(I)C=C(C=C1I)[N+]([O-])=O,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.71,T
C_041,COC1=CC=CC(OC)=C1O,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.6,T
C_042,CC1=CC(=C(O)C(=C1)[N+]([O-])=O)[N+]([O-])=O,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.23,T
